Command,Description
flatpak-run,run application open shell runtime
flatpak-search,search applications runtimes
flatpak-spawn,run commands sandbox
flatpak-uninstall,uninstall application runtime
flatpak-update,update application runtime
flatpak,build install run applications runtimes
flock,manage locks shell scripts
flow,flow based traffic control filter
flower,flow based traffic control filter
flowtop,toplike netfilter tcpudpsctpdccpicmpv6 flow tracking
fmt,simple optimal text formatter
fold,wrap input line fit specified width
fold,filter folding lines
fort77,fortran compiler fortran
FQ-PIE,flow queue proportional integral controller enhanced
FQ,fair queue traffic policing
free,display amount free used memory system
fsadm,utility resize check filesystem device
fsck,check repair linux filesystem
fsck.btrfs,nothing successfully
fsck.cramfs,fsck compressed rom file system
fsck.fat,check repair msdos fat filesystems
fsck.minix,check consistency minix filesystem
fsck.msdos,check repair msdos fat filesystems
fsck.vfat,check repair msdos fat filesystems
fsck.xfs,nothing successfully
fsfreeze,suspend access filesystem ext34 reiserfs jfs xfs
fsnotifywait,wait changes files using inotify fanotify
fsnotifywatch,gather filesystem access statistics using inotify fanotify
fstrim,discard unused blocks mounted filesystem
fullreport,display full report
fuse,configuration mount options fuse file systems
fuse2fs,fuse file system client ext2ext3ext4 file systems
fuser,identify processes using files sockets
fuser,list process ids processes one files open
fusermount3,mount unmount fuse filesystems
fw,fwmark traffic control filter
g++,gnu project c c compiler
gact,generic action
galera_new_cluster,starting new galera cluster
galera_recovery,recover nongraceful shutdown
ganglia2pcp,import ganglia data create pcp archive
gate,stream gate action
gawk,pattern scanning processing language
gcc,gnu project c c compiler
gcore,generate core file running program
gcov-dump,offline gcda gcno profile dump tool
gcov-tool,offline gcda profile processing tool
gcov,coverage testing tool
gdb-add-index,add index files speed gdb
gdb,gnu debugger
gdbserver,remote server gnu debugger
genbrk,compiles icu break iteration rules source files binary data files
gencat,generate formatted message catalog
genccode,generate c platform specific assembly code icu data file
gencfu,generates unicode confusable data files
gencmn,generate icu memorymappable data file
gencnval,compile converters aliases file
gendict,compiles word list icu string trie dictionary
gendiff,utility aid errorfree diff file generation
genhomedircon,generate selinux file context configuration entries user home directories
genl,generic netlink utility frontend
genload,txmon performance metrics domain agent pmda
genpmda,performance copilot pmda generator
genpolbools,rewrite binary policy different boolean settings
genpolusers,generate new binary policy updated user configuration
genrb,compile resource bundle
gensprep,compile stringprep data files filtered filterrfc3454pl
get,get version sccs file development
getcap,examine file capabilities
getconf,get configuration values
getenforce,get current mode selinux
getent,get entries name service switch libraries
getfacl,get file access control lists
getfattr,get extended attributes filesystem objects
getkeycodes,print kernel scancodetokeycode mapping table
getopt,parse command options enhanced
getopts,parse utility options
getpcaps,display process capabilities
getsebool,get selinux boolean values
getsubids,get subordinate id ranges user
gettext,translate message
gettextize,install upgrade gettext infrastructure
gfortran,gnu fortran compiler
git-add,add file contents index
git-am,apply series patches mailbox
git-annotate,annotate file lines commit information
git-apply,apply patch files andor index
git-archimport,import gnu arch repository git
git-archive,create archive files named tree
git-bisect,use binary search find commit introduced bug
git-blame,show revision author last modified line file
git-branch,list create delete branches
git-bugreport,collect information user file bug report
git-bundle,move objects refs archive
git-cat-file,provide contents details repository objects
git-check-attr,display gitattributes information
git-check-ignore,debug gitignore exclude files
git-check-mailmap,show canonical names email addresses contacts
git-check-ref-format,ensures reference name well formed
git-checkout-index,copy files index working tree
git-checkout,switch branches restore working tree files
git-cherry-pick,apply changes introduced existing commits
git-cherry,find commits yet applied upstream
git-citool,graphical alternative gitcommit
git-clean,remove untracked files working tree
git-clone,clone repository new directory
git-column,display data columns
git-commit-graph,write verify git commitgraph files
git-commit-tree,create new commit object
git-commit,record changes repository
git-config,get set repository global options
git-count-objects,count unpacked number objects disk consumption
git-credential-cache--daemon,temporarily store user credentials memory
git-credential-cache,helper temporarily store passwords memory
git-credential-store,helper store credentials disk
git-credential,retrieve store user credentials
git-cvsexportcommit,export single commit cvs checkout
git-cvsimport,salvage data another scm people love hate
git-cvsserver,cvs server emulator git
git-daemon,really simple server git repositories
git-describe,give object human readable name based available ref
git-diagnose,generate zip archive diagnostic information
git-diff-files,compares files working tree index
git-diff-index,compare tree working tree index
git-diff-tree,compares content mode blobs found via two tree objects
git-diff,show changes commits commit working tree etc
git-difftool,show changes using common diff tools
git-fast-export,git data exporter
git-fast-import,backend fast git data importers
git-fetch-pack,receive missing objects another repository
git-fetch,download objects refs another repository
git-filter-branch,rewrite branches
git-fmt-merge-msg,produce merge commit message
git-for-each-ref,output information ref
git-for-each-repo,run git command list repositories
git-format-patch,prepare patches email submission
git-fsck-objects,verifies connectivity validity objects database
git-fsck,verifies connectivity validity objects database
git-fsmonitor--daemon,builtin filesystem monitor
git-gc,cleanup unnecessary files optimize local repository
git-get-tar-commit-id,extract commit id archive created using gitarchive
git-grep,print lines matching pattern
git-gui,portable graphical interface git
git-hash-object,compute object id optionally create object file
git-help,display help information git
git-hook,run git hooks
git-http-backend,server side implementation git http
git-http-fetch,download remote git repository via http
git-http-push,push objects httpdav another repository
git-imap-send,send collection patches stdin imap folder
git-index-pack,build pack index file existing packed archive
git-init-db,creates empty git repository
git-init,create empty git repository reinitialize existing one
git-instaweb,instantly browse working repository gitweb
git-interpret-trailers,add parse structured information commit messages
git-log,show commit logs
git-ls-files,show information files index working tree
git-ls-remote,list references remote repository
git-ls-tree,list contents tree object
git-mailinfo,extracts patch authorship single email message
git-mailsplit,simple unix mbox splitter program
git-maintenance,run tasks optimize git repository data
git-merge-base,find good common ancestors possible merge
git-merge-file,run threeway file merge
git-merge-index,run merge files needing merging
git-merge-one-file,standard helper program use gitmergeindex
git-merge-tree,perform merge without touching index working tree
git-merge,join two development histories together
git-mergetool--lib,common git merge tool shell scriptlets
git-mergetool,run merge conflict resolution tools resolve merge conflicts
git-mktag,creates tag object extra validation
git-mktree,build treeobject lstree formatted text
git-multi-pack-index,write verify multipackindexes
git-mv,move rename file directory symlink
git-name-rev,find symbolic names given revs
git-notes,add inspect object notes
git-p4,import submit perforce repositories
git-pack-objects,create packed archive objects
git-pack-redundant,find redundant pack files
git-pack-refs,pack heads tags efficient repository access
git-patch-id,compute unique id patch
git-prune-packed,remove extra objects already pack files
git-prune,prune unreachable objects object database
git-pull,fetch integrate another repository local branch
git-push,update remote refs along associated objects
git-quiltimport,applies quilt patchset onto current branch
git-range-diff,compare two commit ranges eg two versions branch
git-read-tree,reads tree information index
git-rebase,reapply commits top another base tip
git-receive-pack,receive pushed repository
git-reflog,manage reflog information
git-refs,lowlevel access refs
git-remote-ext,bridge smart transport external command
git-remote-fd,reflect smart transport stream back caller
git-remote,manage set tracked repositories
git-repack,pack unpacked objects repository
git-replace,create list delete refs replace objects
git-replay,experimental replay commits new base works bare repos
git-request-pull,generates summary pending changes
git-rerere,reuse recorded resolution conflicted merges
git-reset,reset current head specified state
git-restore,restore working tree files
git-rev-list,lists commit objects reverse chronological order
git-rev-parse,pick massage parameters
git-revert,revert existing commits
git-rm,remove files working tree index
git-send-email,send collection patches emails
git-send-pack,push objects git protocol another repository
git-series,track changes patch series git
git-sh-i18n--envsubst,gits envsubst1 i18n fallbacks
git-sh-i18n,gits i18n setup code shell scripts
git-sh-setup,common git shell script setup code
git-shell,restricted login shell gitonly ssh access
git-shortlog,summarize git log output
git-show-branch,show branches commits
git-show-index,show packed archive index
git-show-ref,list references local repository
git-show,show various types objects
git-sparse-checkout,reduce working tree subset tracked files
git-stage,add file contents staging area
git-stash,stash changes dirty working directory away
git-status,show working tree status
git-stripspace,remove unnecessary whitespace
git-submodule,initialize update inspect submodules
git-svn,bidirectional operation subversion repository git
git-switch,switch branches
git-symbolic-ref,read modify delete symbolic refs
git-tag,create list delete verify tag object signed gpg
git-unpack-file,creates temporary file blobs contents
git-unpack-objects,unpack objects packed archive
git-update-index,register file contents working tree index
