Command,Description
systemd-quotacheck.service,file system quota checker logic
systemd-random-seed,load save os system random seed boot shutdown
systemd-random-seed.service,load save os system random seed boot shutdown
systemd-rc-local-generator,compatibility generator service start etcrclocal boot
systemd-reboot.service,system shutdown logic
systemd-remount-fs,remount root kernel file systems
systemd-remount-fs.service,remount root kernel file systems
systemd-repart,automatically grow add partitions generate disk images ddis
systemd-repart.service,automatically grow add partitions generate disk images ddis
systemd-resolved,network name resolution manager
systemd-resolved.service,network name resolution manager
systemd-rfkill,load save rf kill switch state boot change
systemd-rfkill.service,load save rf kill switch state boot change
systemd-rfkill.socket,load save rf kill switch state boot change
systemd-run-generator,generator invoking commands specified kernel command line system service
systemd-run,run programs transient scope units service units path socket timertriggered service units
systemd-sbsign,sign pe binaries efi secure boot
systemd-shutdown,system shutdown logic
systemd-sleep,system sleep state logic
systemd-socket-activate,test socket activation daemons
systemd-socket-proxyd,bidirectionally proxy local sockets another possibly remote socket
systemd-soft-reboot.service,userspace reboot operation
systemd-ssh-generator,generator binding socketactivated ssh server local af_vsock af_unix sockets
systemd-ssh-proxy,ssh client plugin connecting af_vsock af_unix sockets
systemd-stdio-bridge,dbus proxy
systemd-storagetm,exposes local block devices nvmetcp mass storage devices
systemd-storagetm.service,exposes local block devices nvmetcp mass storage devices
systemd-suspend-then-hibernate.service,system sleep state logic
systemd-suspend.service,system sleep state logic
systemd-sysctl,configure kernel parameters boot
systemd-sysctl.service,configure kernel parameters boot
systemd-sysext-initrd.service,activates system extension images
systemd-sysext,activates system extension images
systemd-sysext.service,activates system extension images
systemd-system-update-generator,generator redirecting boot offline update mode
systemd-sysupdate-reboot.service,automatically update os resources
systemd-sysupdate-reboot.timer,automatically update os resources
systemd-sysupdate,automatically update os resources
systemd-sysupdate.service,automatically update os resources
systemd-sysupdate.timer,automatically update os resources
systemd-sysupdated,system update service
systemd-sysupdated.service,system update service
systemd-sysusers,allocate system users groups
systemd-sysusers.service,allocate system users groups
systemd-sysv-generator,unit generator sysv init scripts
systemd-time-wait-sync,wait kernel time synchronized
systemd-time-wait-sync.service,wait kernel time synchronized
systemd-timedated,time date bus mechanism
systemd-timedated.service,time date bus mechanism
systemd-timesyncd,network time synchronization
systemd-timesyncd.service,network time synchronization
systemd-tmpfiles-clean.service,create delete clean files directories
systemd-tmpfiles-clean.timer,create delete clean files directories
systemd-tmpfiles-setup-dev-early.service,create delete clean files directories
systemd-tmpfiles-setup-dev.service,create delete clean files directories
systemd-tmpfiles-setup.service,create delete clean files directories
systemd-tmpfiles,create delete clean files directories
systemd-tpm2-generator,generator inserting tpm2 synchronization point boot process
systemd-tpm2-setup-early.service,set tpm2 storage root key srk boot
systemd-tpm2-setup,set tpm2 storage root key srk boot
systemd-tpm2-setup.service,set tpm2 storage root key srk boot
systemd-tty-ask-password-agent,list process pending systemd password requests
systemd-udev-settle.service,wait pending udev events handled
systemd-udevd-control.socket,device event managing daemon
systemd-udevd-kernel.socket,device event managing daemon
systemd-udevd-varlink.socket,device event managing daemon
systemd-udevd,device event managing daemon
systemd-udevd.service,device event managing daemon
systemd-umount,establish destroy transient mount automount points
systemd-update-done,mark etc var fully updated
systemd-update-done.service,mark etc var fully updated
systemd-update-utmp-runlevel.service,write audit utmp updates bootup runlevel changes shutdown
systemd-update-utmp,write audit utmp updates bootup runlevel changes shutdown
systemd-update-utmp.service,write audit utmp updates bootup runlevel changes shutdown
systemd-user-sessions,permit user logins boot prohibit user logins shutdown
systemd-user-sessions.service,permit user logins boot prohibit user logins shutdown
systemd-userdbd,json usergroup record query multiplexernss compatibility
systemd-userdbd.service,json usergroup record query multiplexernss compatibility
systemd-vconsole-setup,configure virtual consoles
systemd-vconsole-setup.service,configure virtual consoles
systemd-veritysetup-generator,unit generator verity protected block devices
systemd-veritysetup,disk verity protection logic
systemd-veritysetup.service,disk verity protection logic
systemd-veritysetup@.service,disk verity protection logic
systemd-vmspawn,spawn os virtual machine
systemd-volatile-root,make root file system volatile
systemd-volatile-root.service,make root file system volatile
systemd-vpick,resolve paths v versioned directories
systemd-xdg-autostart-generator,user unit generator xdg autostart files
systemd,systemd system service manager
systemtap-service,systemtap initscript systemd service
TABS,set tabs terminal
tabs,set tabs terminal
tabs,set terminal tabs
tac,concatenate print files reverse
tail,output last part files
tail,copy last part file
talk,talk another user
tapestat,report tape statistics
TAPRIO,time aware priority shaper
tar,archiving utility
taskset,set retrieve processs cpu affinity
tbf,token bucket filter
tc-actions,independently defined actions tc
tc-basic,basic traffic control filter
tc-bfifo,packet limited first first queue
tc-bpf,bpf programmable classifier actions ingressegress queueing disciplines
tc-cake,common applications kept enhanced cake
tc-cbs,credit based shaper cbs qdisc
tc-cgroup,control group based traffic control filter
tc-choke,choose keep scheduler
tc-codel,controlleddelay active queue management algorithm
tc-connmark,netfilter connmark retriever action
tc-csum,checksum update action
tc-ct,tc connection tracking action
tc-ctinfo,tc connmark processing action
tc-drr,deficit round robin scheduler
tc-ematch,extended matches use basic cgroup flow filters
tc-etf,earliest txtime first etf qdisc
tc-ets,enhanced transmission selection scheduler
tc-flow,flow based traffic control filter
tc-flower,flow based traffic control filter
tc-fq,fair queue traffic policing
tc-fq_codel,fair queuing fq controlled delay codel
tc-fq_pie,flow queue proportional integral controller enhanced
tc-fw,fwmark traffic control filter
tc-gact,generic action
tc-gate,stream gate action
tc-hfsc,hierarchical fair service curves control linux
tc-htb,hierarchy token bucket
tc-ife,encapsulatedecapsulate metadata
tc-matchall,traffic control filter matches every packet
tc-mirred,mirrorredirect action
tc-mpls,mpls manipulation module
tc-mqprio,multiqueue priority qdisc offloaded hardware qos
tc-nat,stateless native address translation action
tc-netem,network emulator
tc-pedit,generic packet editor action
tc-pfifo,packet limited first first queue
tc-pfifo_fast,threeband first first queue
tc-pie,proportional integral controllerenhanced aqm algorithm
tc-police,policing action
tc-prio,priority qdisc
tc-red,random early detection
tc-route,route traffic control filter
tc-sample,packet sampling tc action
tc-sfb,stochastic fair blue
tc-sfq,stochastic fairness queueing
tc-simple,basic example action
tc-skbedit,skb editing action
tc-skbmod,userfriendly packet editor action
tc-skbprio,skb priority queue
tc-stab,generic size table manipulations
tc-taprio,time aware priority shaper
tc-tbf,token bucket filter
tc-tunnel_key,tunnel metadata manipulation
tc-u32,universal 32bit traffic control filter
tc-vlan,vlan manipulation module
tc,show manipulate traffic control settings
tcpdump,dump traffic network
tcpdump,dump traffic network
tee,read standard input write standard output files
tee,duplicate standard input
telinit,change sysv runlevel
telnet-probe,lightweight telnetlike port probe
test,check file types compare values
test,evaluate expression
time,time simple command give resource usage
time,time simple command
timedatectl,control system time date
timeout,run command time limit
times,write process times
tipc-bearer,show modify tipc bearers
tipc-link,show links modify link properties
tipc-media,list modify media properties
tipc-nametable,show tipc nametable
tipc-node,modify show local node parameters list peer nodes
tipc-peer,modify peer information
tipc-socket,show tipc socket port information
tipc,tipc configuration management tool
tload,graphic representation system load average
tmux,terminal multiplexer
togglesebool,flip current value selinux boolean
top,display linux processes
touch,change file timestamps
touch,change file access modification times
tpmtool,gnutls tpm tool
TPUT,initialize terminal query terminfo database
tput,initialize terminal query terminfo database
tput,change terminal characteristics
tr,translate delete characters
tr,translate characters
trace-cmd-agent,run agent machine controlled another machine
trace-cmd-attach,attach guest tracedat file host tracedat file
trace-cmd-check-events,parse event formats local system
trace-cmd-clear,clear ftrace buffer
trace-cmd-convert,convert trace files
trace-cmd-dump,show meta data trace file created tracecmd record
trace-cmd-extract,extract data ftrace linux tracer
trace-cmd-hist,show histogram events tracedat file
trace-cmd-list,list available plugins events options ftrace
trace-cmd-listen,listen incoming connection record tracing
trace-cmd-mem,show memory usage certain kmem events
trace-cmd-options,list available options tracecmd plugins
trace-cmd-profile,profile tasks running live
trace-cmd-record,record trace ftrace linux internal tracer
trace-cmd-report,show ascii trace created tracecmd record
trace-cmd-reset,turn ftrace tracing bring back full performance
trace-cmd-restore,restore failed trace record
trace-cmd-set,set configuration parameter ftrace linux internal tracer
trace-cmd-show,show contents ftrace linux kernel tracing buffer
trace-cmd-snapshot,take reset free show ftrace kernel snapshot
trace-cmd-split,split tracedat file smaller files
trace-cmd-sqlhist,use sql language create show creation tracefs histograms synthetic events
trace-cmd-stack,read enable disable ftrace linux kernel stack tracing
trace-cmd-start,start ftrace linux kernel tracer without recording
trace-cmd-stat,show status tracing ftrace system
trace-cmd-stop,stop ftrace linux kernel tracer writing ring buffer
trace-cmd-stream,stream trace stdout happening
trace-cmd,interacts ftrace linux kernel internal tracer
tracepath,traces path network host discovering mtu along path
traceroute,print route packets trace network host
trafgen,fast multithreaded network packet generator
trap,trap signals
true,nothing successfully
true,return true value
truncate,shrink extend size file specified size
TSET,terminal initialization
tset,terminal initialization
tsort,perform topological sort
tsort,topological sort
tty,print file name terminal connected standard input
tty,return users terminal name
tune2fs,adjust tunable file system parameters ext2ext3ext4 file systems
tunnel_key,tunnel metadata manipulation
txrecord,txmon performance metrics domain agent pmda
type,write description command type
tzselect,select timezone
u32,universal 32bit traffic control filter
uclampset,manipulate utilization clamping attributes system process
ucmatose,rdma cm connection simple pingpong test
uconv,convert data one encoding another
udaddy,rdma cm datagram setup simple pingpong test
udevadm,udev management tool
udfinfo,show information udf filesystem
udflabel,show change udf filesystem label
udpong,unreliable datagram streaming rdma pingpong test
ukify,combine components signed unified kernel image uefi systems
ul,underlining
ulimit,set report file size limit
umask,get set file mode creation mask
umount,unmount filesystems
umount.nfs,unmount network file system
umount.nfs4,unmount network file system
unalias,remove alias definitions
uname,print system information
uname,return system name
uname26,change reported architecture new program environment andor set personality flags
uncompress,expand compressed data
unexpand,convert spaces tabs
unexpand,convert spaces tabs
unget,undo previous get sccs file development
unicode_start,put keyboard console unicode mode
unicode_stop,revert keyboard console unicode mode
uniq,report omit repeated lines
uniq,report filter repeated lines file
unix_chkpwd,helper binary verifies password current user
unix_update,helper binary updates password given user
unlink,call unlink function remove specified file
unlink,call unlink function
unset,unset values attributes variables functions
unsetfiles,remove selinux file security contexts
unshare,run program new namespaces
update-alternatives,maintain symbolic links determining default commands
update-pciids,download new version pci id list
updatectl,control system update service
updatedb,update file name database
uptime,tell long system running
usb-devices,print usb device details
usbhid-dump,dump usb hid device report descriptors streams
usbreset,send usb port reset usb device
useradd,create new user update default new user information
userdbctl,inspect users groups group memberships
userdel,delete user account related files
usermod,modify user account
users,print user names users currently logged current host
utmpdump,dump utmp wtmp files raw format
uucp,tosystem copy
uudecode,decode binary file
uuencode,encode binary file
uuidd,uuid generation daemon
uuidgen,create new uuid value
uuidparse,utility parse unique identifiers
uustat,uucp status enquiry job control
uux,remote command execution
val,validate sccs files development
valgrind-di-server,experimental debuginfo server valgrind
valgrind-listener,listens socket valgrind commentary
valgrind,suite tools debugging profiling programs
varlinkctl,introspect invoke varlink services
vdir,list directory contents
vdpa-dev,vdpa device configuration
vdpa-mgmtdev,vdpa management device view
vdpa,vdpa management tool
verify_blkparse,verifies output file produced blkparse
verifytree,verify local yum repository consistent
veritysetup,manage dmverity block level verification volumes
vgcfgbackup,backup volume group configurations
vgcfgrestore,restore volume group configuration
vgchange,change volume group attributes
vgck,check consistency volume groups
vgconvert,change volume group metadata format
vgcreate,create volume group
vgdb,intermediary valgrind gdb shell
vgdisplay,display volume group information
vgexport,unregister volume groups system
vgextend,add physical volumes volume group
vgimport,register exported volume group system
vgimportclone,import vg cloned pvs
vgimportdevices,add devices vg devices file
vgmerge,merge volume groups
vgmknodes,create special files volume group devices dev
vgreduce,remove physical volumes volume group
vgremove,remove volume groups
vgrename,rename volume group
vgs,display information volume groups
vgscan,search volume groups
vgsplit,move physical volumes new existing volume group
vi,oriented visual display editor
vigr,edit password group shadowpassword shadowgroup file
vipw,edit password group shadowpassword shadowgroup file
visudo,edit sudoers file
vlan,vlan manipulation module
vlock,virtual console lock program
vmstat,report virtual memory statistics
vtep-ctl,utility querying configuring vtep database
w,show logged
wait,await process completion
waitpid,utility wait arbitrary processes
wall,write message users
warnquota,send mail users quota
watch,execute program periodically showing output fullscreen
wc,print newline word byte counts file
wc,word line byte character count
wdctl,show hardware watchdog status
weblogvis,visualize activity performance web server logs
webpingvis,visualize web server response time
webvis,visualize systemlevel web server activity
wg-quick,set wireguard interface simply
wg,set retrieve configuration wireguard interfaces
Wget,noninteractive network downloader
wget,noninteractive network downloader
what,identify sccs files development
whatis,display oneline manual page descriptions
whereis,locate binary source manual page files command
who,show logged
who,display system
whoami,print effective user name
windmc,generates windows message resources
windres,manipulate windows resources
wipefs,wipe signature device
write,write another user
wrudf,maintain udf filesystem
wsrep_sst_backup,backup helper script mariadb galera cluster
wsrep_sst_common,common command line parser sourced sst scripts
wsrep_sst_mariabackup,mariabackupbased state snapshot transfer
wsrep_sst_mysqldump,mysqldumpbased state snapshot transfer
wsrep_sst_rsync,rsyncbased state snapshot transfer
wsrep_sst_rsync_wan,rsync_wan rsync delta transfersbased state snapshot transfer
x86_64,change reported architecture new program environment andor set personality flags
xargs,build execute command lines standard input
xargs,construct argument lists invoke utility
xfs_admin,change parameters xfs filesystem
xfs_bmap,print block mapping xfs file
xfs_copy,copy contents xfs filesystem
xfs_db,debug xfs filesystem
xfsdump,xfs filesystem incremental dump utility
xfs_estimate,estimate space xfs filesystem take
xfs_freeze,suspend access xfs filesystem
xfs_fsr,filesystem reorganizer xfs
xfs_growfs,expand xfs filesystem
xfs_info,display xfs filesystem geometry information
xfsinvutil,xfsdump inventory database checking pruning utility
xfs_io,debug io path xfs filesystem
xfs_logprint,print log xfs filesystem
xfs_mdrestore,restores xfs metadump image filesystem image
xfs_metadump,copy xfs filesystem metadata file
xfs_mkfile,create xfs file
xfs_ncheck,generate pathnames inumbers xfs
xfs_property,examine edit properties xfs filesystem
xfs_quota,manage use quota xfs filesystems
xfs_repair,repair xfs filesystem
xfsrestore,xfs filesystem incremental restore utility
xfs_rtcp,xfs realtime copy command
xfs_scrub,check repair contents mounted xfs filesystem
xfs_spaceman,show free space information xfs filesystem
xgettext,extract gettext strings source
xminicom,friendly serial communication program
xqmstats,display xfs quota manager statistics proc
xtables-legacy,iptables using old getsockoptsetsockoptbased kernel api
xtables-monitor,show changes rule set traceevents
xtables-nft,iptables using nftables kernel api
xtables-translate,translation tool migrate iptables nftables
yacc,yet another compiler compiler development
yes,output string repeatedly killed
ypdomainname,show set systems host name
yum-aliases,redirecting dnf command reference
yum-builddep,install missing dependencies building rpm package
yum-changelog,changelog
yum-complete-transaction,attempt complete failed aborted yum transactions
yum-config-manager,manage yum configuration options yum repositories
yum-copr,yum copr plugin
yum-cron,interface conveniently call yum cron
yum-debug-dump,write system rpm configuration debugdump file
yum-debug-restore,replay yum transactions captured debugdump file
yum-filter-data,yum filter data plugin
yum-fs-snapshot,fssnapshot
yum-groups-manager,create edit yums group metadata
yum-list-data,yum list data plugin
yum-ovl,performs initial copyup yum8 package database
yum-plugin-copr,yum copr plugin
yum-shell,redirecting dnf command reference
yum-torrent,download packages via http peertopeer
yum-updatesd,update notifier daemon
yum-utils,tools manipulating repositories extended package management
yum-verify,yum verify plugin
yum-versionlock,version lock rpm packages
yum,redirecting dnf command reference
yum2dnf,changes dnf compared yum
yumdb,query alter yum database
yumdownloader,download rpm packages yum repositories
zcat,expand concatenate data
zdump,timezone dumper
zenmap,graphical nmap frontend results viewer
zic,timezone compiler
zramctl,set control zram devices
zsoelim,satisfy requests roff input
